"Mom","Pop","O2","Slide ID","Process #","LZ_Area","Progenitor_Area_1","Progenitor_Area_2","Prog_Sum","Prog_LZ","Group","Imp_Number","Imp_Uniq"
"ME269","Highland","1N","1.3H",2358,3.436,1.119,0.057,1.176,0.342258440046566,"Highland 1N","1.3","ME269_1.3"
"ME293","Highland","1N","1.2B",2362,1.074,0.492,0.013,0.505,0.470204841713222,"Highland 1N","1.2","ME293_1.2"
"ME293","Highland","1N","1.2B",2363,1.003,0.568,0.051,0.619,0.617148554336989,"Highland 1N","1.2","ME293_1.2"
"ME293","Highland","1N","1.2B",2364,0.937,0.583,0.022,0.605,0.645677694770544,"Highland 1N","1.2","ME293_1.2"
"ME301","Highland","1N","1.3B",2366,1.511,0.605,0.079,0.684,0.452680344142952,"Highland 1N","1.3","ME301_1.3"
"ME301","Highland","1N","1.3B",2367,1.752,0.795,0.043,0.838,0.478310502283105,"Highland 1N","1.3","ME301_1.3"
"ME301","Highland","1N","1.3B",2368,1.541,0.449,0.067,0.516,0.334847501622323,"Highland 1N","1.3","ME301_1.3"
"ME257","Highland","1N","1.2E",282,1.07,0.281,0.145,0.426,0.398130841121495,"Highland 1N","1.2","ME257_1.2"
"ME257","Highland","1N","1.2E",283,1.052,0.198,0.141,0.339,0.322243346007605,"Highland 1N","1.2","ME257_1.2"
"ME257","Highland","1N","1.2E",284,1.431,0.36,0.114,0.474,0.331236897274633,"Highland 1N","1.2","ME257_1.2"
"ME259","Highland","2H","1.2H",142,3.654,0.58,0.439,1.019,0.278872468527641,"Highland 2H","1.2","ME259_1.2"
"ME259","Highland","2H","1.2H",143,4.469,1.065,0.486,1.551,0.34705750727232,"Highland 2H","1.2","ME259_1.2"
"ME214","Highland","2H","1.6H",35,2.314,0.855,0.137,0.992,0.428694900605013,"Highland 2H","1.6","ME214_1.6"
"ME214","Highland","2H","1.6H",36,2.062,0.776,0.066,0.842,0.408341416100873,"Highland 2H","1.6","ME214_1.6"
"ME214","Highland","2H","1.6H",37,2.165,0.79,0.067,0.857,0.395842956120092,"Highland 2H","1.6","ME214_1.6"
"ME258","Highland","2H","1.2G",2374,5.387,0.869,0.475,1.344,0.249489511787637,"Highland 2H","1.2","ME258_1.2"
"ME258","Highland","2H","1.2G",2375,4.641,0.624,0.497,1.121,0.241542770954536,"Highland 2H","1.2","ME258_1.2"
"ME258","Highland","2H","1.2G",2377,4.721,0.535,0.55,1.085,0.229824189790299,"Highland 2H","1.2","ME258_1.2"
"ME276","Highland","2H","2.3B",2378,2.013,0.73,0.252,0.982,0.48782911077993,"Highland 2H","2.3","ME276_2.3"
"ME276","Highland","2H","2.3B",2379,2.133,0.655,0.244,0.899,0.421472105016409,"Highland 2H","2.3","ME276_2.3"
"ME276","Highland","2H","2.3B",2382,2.203,0.605,0.233,0.838,0.380390376758965,"Highland 2H","2.3","ME276_2.3"
"ME263","Highland","2H","1.1C",2387,2.606,0.583,0.131,0.714,0.273983115886416,"Highland 2H","1.1","ME263_1.1"
"ME263","Highland","2H","1.1C",2389,2.003,0.326,0.293,0.619,0.309036445332002,"Highland 2H","1.1","ME263_1.1"
"ME298","Highland","2H","1.2B",2446,3.139,0.437,0.251,0.688,0.219178082191781,"Highland 2H","1.2","ME298_1.2"
"ME298","Highland","2H","1.2B",2447,2.61,0.417,0.297,0.714,0.273563218390805,"Highland 2H","1.2","ME298_1.2"
"ME264","Highland","2H","1.3F",31,1.601,0.275,0.256,0.531,0.331667707682698,"Highland 2H","1.3","ME264_1.3"
"ME264","Highland","2H","1.3F",32,0.956,0.254,0,0.254,0.265690376569038,"Highland 2H","1.3","ME264_1.3"
"ME264","Highland","2H","1.3F",34,1.653,0.281,0.344,0.625,0.378100423472474,"Highland 2H","1.3","ME264_1.3"
"ME254","Highland","2H","1.2D",101,2.725,0.577,0.103,0.68,0.24954128440367,"Highland 2H","1.2","ME254_1.2"
"ME254","Highland","2H","1.2D",102,2.642,0.996,0.196,1.192,0.451173353520061,"Highland 2H","1.2","ME254_1.2"
"ME254","Highland","2H","1.2D",103,2.232,0.275,0.18,0.455,0.203853046594982,"Highland 2H","1.2","ME254_1.2"
