"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"LOC121822320",-0.0595963525336044,0.500437192654085,-0.525511787979718,0.599396264159894,0.829225282618757,-5.6636541458698,-0.525268913947261
"LOC121823283",-0.126762786152709,1.38694151806239,-0.525739009609939,0.599558201668004,0.829383229150653,-5.31805163696541,-0.525035947509223
"Agpat3",0.0522726726938267,6.16352903991894,0.525017654685465,0.599625672651925,0.829383229150653,-5.94412942408103,0.524938890853686
"P2rx4",-0.139483049227691,5.99658759280849,-0.52527397245279,0.599627457365433,0.829383229150653,-5.52759771613815,-0.524936323619825
"LOC102909462",-0.218797130073832,5.59575898962287,-0.524967367849402,0.599840743121958,0.82959008018398,-5.52788774182209,-0.524629546108397
"novel_gene_NC_056011.1_34327",-0.0462597637406133,2.14493308266321,-0.524679841589499,0.599855041517661,0.82959008018398,-5.98725005381872,-0.524608981914952
"LOC102918447",-0.236286836175767,0.536099804148574,-0.526617795708271,0.599963938832516,0.829639141657016,-4.92730941709347,-0.524452371241074
"Znf706",-0.0542970497198043,5.09517597765467,-0.524492444609809,0.599968556209119,0.829639141657016,-6.08528924748291,-0.52444573104518
"novel_gene_NC_056019.1_16000",0.0963683834181944,-0.604154262869532,0.524817547131497,0.600064157474313,0.829671583693215,-5.45488058496834,0.524308253166428
"novel_gene_NC_056019.1_6808",-0.0765544963463039,0.0762179312042975,-0.52427117301785,0.600247316636787,0.829671583693215,-5.68926087991773,-0.524044891720069
"Cd79a",-0.126220724252865,2.80669551529103,-0.524206206038164,0.600280062218194,0.829671583693215,-5.67812781858213,-0.523997811235479
"Arhgap24",0.141486102269351,2.49212281236704,0.52442834946213,0.600323996092685,0.829671583693215,-5.41776384187542,0.523934646427627
"novel_gene_NC_056015.1_20329",-0.0782900872959511,3.7844233482005,-0.524137901304288,0.600334658768703,0.829671583693215,-5.66148304104991,-0.52391931675229
"novel_gene_NC_056018.1_15667",-0.0380378784222371,1.3242634519172,-0.523988011800324,0.600345315402859,0.829671583693215,-5.95282722294943,-0.52390399588632
"novel_gene_NC_056010.1_22610",-0.120883250143548,-0.127207373728319,-0.524431616235359,0.600374795007699,0.829671583693215,-5.41229524996376,-0.523861614188567
"LOC102919598",-0.222199552724331,3.31680448366531,-0.52475814724272,0.600404721214391,0.829671583693215,-5.20693716364685,-0.523818591390884
"Thada",-0.0838216259642427,4.79245525690835,-0.524951335831092,0.600434037282327,0.829671583693215,-5.12640823462887,-0.523776446686776
"LOC107399327",-0.138551975357944,2.11684218229241,-0.524727620654233,0.600532107606013,0.829671583693215,-5.16063735115944,-0.523635467801687
"Gata3",-0.0788908987019201,6.66918068723629,-0.523634170429713,0.600549361864473,0.829671583693215,-6.26763191225497,-0.523610665390074
"LOC102921616",-0.0925447783025515,1.56469764911285,-0.524121002256881,0.600564038091436,0.829671583693215,-5.41691132765586,-0.52358956906485
"Ell",0.0457979541696066,6.5401827076582,0.523605697960015,0.600580538181252,0.829671583693215,-6.12774027339962,0.523565851308369
"Cpox",-0.0800076294659065,3.05395004160567,-0.523729755111253,0.600621054233997,0.829671583693215,-5.65955184286271,-0.523507613488624
"novel_gene_NC_056020.1_1411",0.151199515834431,-0.198476477444245,0.524590406706481,0.600622518685398,0.829671583693215,-5.1981441693993,0.523505508517784
"Prss8",0.338656238372229,5.00053775635727,0.523433264256643,0.600684601032748,0.829671583693215,-6.35208496229748,0.523416274824801
"Dexi",0.0468229243071372,2.3511742421432,0.523592385622089,0.600709469542374,0.829671583693215,-5.68009748590219,0.523380531389428
"Tbc1d19",-0.0679194183190645,3.91445805532855,-0.523439836454953,0.600716714129673,0.829671583693215,-5.98092139274001,-0.52337011889129
"Foxo3",-0.0409515091702192,6.30824234675231,-0.523419994666649,0.600743822520347,0.829671583693215,-5.91043630418408,-0.52333115705553
"Cdh5",0.147260201388712,7.40484914705028,0.523304610312361,0.600772443915941,0.829671583693215,-6.39239855729429,0.523290021498791
"LOC107403025",0.0803581668268276,0.488215061994187,0.523554488036406,0.600851645694366,0.829696855969631,-5.52255819499059,0.523176194863342
"Dennd4b",-0.105029400984273,5.35344415220213,-0.523092806908092,0.600945180985398,0.829696855969631,-6.06110649437327,-0.523041777223527
"LOC102903398",0.385058579871087,3.98708392262433,0.524169790497815,0.600964963648697,0.829696855969631,-5.13259432006268,0.523013349176427
"LOC121825049",0.153847583616625,-0.457892467241556,0.524426159176085,0.600967655338557,0.829696855969631,-5.09772858084358,0.523009481201792
"Phf5a",0.0443100364360831,4.54954160982831,0.523377893795733,0.601038152595921,0.829696855969631,-5.42683578431937,0.522908179001824
"Rtkn2",0.153771010491946,-0.190238906925793,0.523149934952356,0.601066444757273,0.829696855969631,-5.63308691269104,0.522867525621555
"LOC121826726",-0.0424477206002588,3.46282778718662,-0.522876077367378,0.601132098512984,0.829696855969631,-5.87569655123163,-0.522773190202068
"LOC102903695",0.0237046773200195,4.57177813462361,0.52277861772963,0.601149194368111,0.829696855969631,-6.20396947085462,0.522748626572398
"Entpd1",-0.099420232512719,6.04861236753664,-0.52273482690714,0.601216352208987,0.829696855969631,-5.93031568033151,-0.522652136041321
"novel_gene_NC_056024.1_12828",-0.223156584177436,-0.347853328514361,-0.523814365556008,0.60125196023159,0.829696855969631,-5.14719004290829,-0.522600977391856
"Tbrg1",0.0387325374642107,5.1183404760895,0.522709015444327,0.601279511782354,0.829696855969631,-5.7688966622742,0.52256139455056
"novel_gene_NC_056009.1_13359",-0.042519926131909,4.35617463243733,-0.522690922539759,0.601310767455977,0.829696855969631,-5.72276908364352,-0.522516491050605
"Ppp1r8",0.0228037281417295,4.72509852101144,0.522475214406877,0.601371497510791,0.829696855969631,-6.09019982280527,0.522429246158638
"novel_gene_NC_056028.1_12923",-0.171694833269599,3.05917219586561,-0.522608670399949,0.601430011154302,0.829696855969631,-5.61201683784759,-0.522345189127978
"LOC102926515",-0.230445619006013,0.164205368809,-0.52369250641712,0.601452043357094,0.829696855969631,-5.10339795358984,-0.522313540003626
"novel_gene_NC_056017.1_5336",-0.0807241892905105,0.783867619239897,-0.522446310841589,0.601460079412803,0.829696855969631,-5.80932021488335,-0.52230199638904
"novel_gene_NC_056009.1_10549",0.0736469231971664,1.19654400738454,0.522449878728779,0.601473077923955,0.829696855969631,-5.76056514007732,0.522283324465356
"LOC102905163",0.20399455884136,4.8465047338889,0.522583297907014,0.601493149182386,0.829696855969631,-5.53560988864321,0.52225449313596
"novel_gene_NC_056015.1_1488",-0.0284674138738198,1.29625686896096,-0.521841365426714,0.601796840624959,0.830061915366064,-6.29717903175194,-0.521818308969264
"Mitd1",0.119391735272455,4.80821906318178,0.521932739419167,0.601955389678192,0.830110691356793,-5.52314105506448,0.521590628508034
"Ifrd1",-0.0913234145095088,6.0107048601348,-0.521581884563229,0.602012186421913,0.830110691356793,-5.96448987549649,-0.521509073521706
"Marchf6",-0.0486984974071682,7.4281341601216,-0.52170407588047,0.602022117358686,0.830110691356793,-5.66947604823807,-0.521494813951102
"novel_gene_NC_056015.1_16563",0.0431196750381523,3.50019961572943,0.521589176971357,0.602023917365792,0.830110691356793,-5.89193354791498,0.52149222937965
"LOC107401647",-0.134061554760403,10.8199131161091,-0.521985377988432,0.602027413259418,0.830110691356793,-5.41708751991382,-0.521487209750048
"novel_gene_NC_056014.1_27578",-0.0316095566072764,2.56995745011867,-0.521491314822896,0.602074546943767,0.830121847942311,-5.9807615990224,-0.521419533448055
"LOC102917752",-0.105664764081623,0.164530618290521,-0.522277067185141,0.602271228076457,0.830339181128363,-5.17250309764081,-0.521137157110024
"LOC102912160",0.142533549660972,0.743393579723393,0.522469972263009,0.602344786841863,0.830364728629345,-5.07770844348191,0.521031559005324
"Kif16b",-0.0683504729115826,5.90585564190634,-0.521398962506494,0.602378602997814,0.830364728629345,-5.462558549911,-0.52098301579555
"Chml",-0.106669989754836,1.92177042548176,-0.521422377112016,0.602406920285375,0.830364728629345,-5.43453888587962,-0.520942367174955
"LOC107401538",-0.0347759430946076,1.95052502001409,-0.520755470064582,0.602547600232035,0.830479015467266,-6.40051919231072,-0.520740438070921
"Slc43a1",0.142361546805853,0.0991679892505139,0.521591884048921,0.602570361040375,0.830479015467266,-5.26236977824076,0.520707769670154
"Pcnt",0.0432014826523457,6.01244488545859,0.520905359347264,0.602607010188551,0.830479015467266,-5.61529129118989,0.52065516861735
"LOC121828841",0.0448968667863428,0.182223122268034,0.520647542972996,0.60272364627439,0.83058592048001,-5.788539233978,0.520487775106624
"LOC102910916",-0.0584968530021547,1.32845633860825,-0.520672496860248,0.602792470473593,0.830626928529458,-5.60945328503109,-0.520389006991814
"LOC121830768",0.0507003401751336,5.65769520662281,0.520305806565508,0.60286902571809,0.830678583683367,-6.2331960348434,0.520279150185148
"Ngfr",0.315763686154704,0.355924171858474,0.520552199916688,0.602922054793507,0.830692105474807,-5.56730943234173,0.52020305712159
"Itpripl2",-0.0577702727260299,6.07202270684762,-0.520308097924409,0.602956977885086,0.830692105474807,-5.75352517549774,-0.520152946540271
"Ints10",0.0417312357012489,4.37178668634606,0.520122315355301,0.603063841414896,0.830785499297882,-5.8223125252607,0.519999617895755
"Ak2",-0.0431553182075835,6.24942348298868,-0.519904718120294,0.603189310918564,0.830904511094946,-5.92158102993604,-0.519819608853019
"novel_gene_NC_056030.1_646",0.0318487497597016,1.88132555450271,0.519800447877259,0.603238303985643,0.830918166580898,-6.07835450070689,0.519749323874549
"novel_gene_NC_056013.1_7204",0.0438686073224517,2.7634713331616,0.519559056055896,0.603402002367757,0.8310513132583,-6.10803369019945,0.519514502382315
"Hexb",-0.0835976570108079,7.67288280387321,-0.519795455312689,0.603423142264441,0.8310513132583,-5.55244640502689,-0.519484179784756
"novel_gene_NC_056026.1_4436",-0.102390093237437,2.16559747120241,-0.519666987089027,0.603452225820473,0.8310513132583,-5.66323813544961,-0.519442463759501
"Cbwd1",-0.0514228264712746,3.98479480755969,-0.519486995780514,0.603511531188487,0.831079156485079,-5.80749737415941,-0.519357401851324
"LOC102910250",-0.0890536919698351,3.396192626406,-0.519630873630716,0.60359661884484,0.831142497887377,-5.48604594425599,-0.519235366874755
"Mterf4",0.025467393628236,3.25926793073513,0.518886223379039,0.603867910338667,0.831446249334822,-6.13263955974155,0.518846325024155
"Zbtb7a",-0.0561909903594271,5.16187357215044,-0.518835037851481,0.603895834443089,0.831446249334822,-6.21323346422434,-0.518806285302859
"Mrps18c",0.0197415153934591,3.63260061254368,0.518756701445207,0.603934525196454,0.831446249334822,-6.62890016349528,0.518750808909602
"Snrnp40",0.0287799534319652,4.34752744248889,0.518503077212954,0.604138915430687,0.831514862647694,-6.09444016342254,0.518457772273282
"LOC107399425",0.103029174912675,1.83114840734471,0.518415970921519,0.604202204797116,0.831514862647694,-6.09508339307853,0.518367042606266
