"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"11634","novel_gene_NC_056012.1_17596","0.8773508","0.9965324","0.5405949","0.4695549","0.0775541421892426","0.651342603214225","0.0436014695679162","0.0352979943517646","0.651342603214225","0.0264510259313682"
"11635","novel_gene_NC_056012.1_17629","0.06700657","0.10534398","0.09308239","0.22016729","0.868073280422441","0.868073280422441","0.81301752155385","0.868073280422441","0.81301752155385","0.81301752155385"
"11636","novel_gene_NC_056012.1_17696","1.559457","1.771252","1.591409","1.646606","0.756215619366281","0.24445109493175","0.756215619366281","0.24445109493175","0.756215619366281","0.327004373365536"
"11637","novel_gene_NC_056012.1_17771","1.0069484","0.9416746","0.6563124","0.8126053","0.00264252995396087","0.721272786945883","0.0723352643961282","0.00264252995396087","0.118305250500535","0.100016840738898"
"11638","novel_gene_NC_056012.1_17884","-0.72219766","-0.55374744"," 0.05882883","-0.20040377","0.00208980830709897","0.20999277809605","0.0348051071458037","0.0239507934556492","0.20999277809605","0.20999277809605"
"11639","novel_gene_NC_056012.1_17938","1.016995","1.265017","1.955774","1.729165","5.9919007816794e-05","0.0788867271884713","0.00202540277195614","0.00354262838428589","0.160796089415443","0.0788867271884713"
"11640","novel_gene_NC_056012.1_17974","0.4565613","0.6737250","1.3001230","1.0594377","0.000129145307938747","0.117622305181244","0.00474778969455087","0.00474778969455087","0.117622305181244","0.117622305181244"
"11641","novel_gene_NC_056012.1_18005"," 0.6657443"," 0.4561207"," 0.1622932","-0.1512375","0.750145886983987","0.750145886983987","0.750145886983987","0.843092816414387","0.753186815220424","0.750145886983987"
"11642","novel_gene_NC_056012.1_18058","3.544586","3.555028","3.136705","3.246236","0.581114984753137","0.758001438000171","0.657141103156026","0.581114984753137","0.657141103156026","0.729080818031789"
"11643","novel_gene_NC_056012.1_1818","9.128716","9.184852","9.453313","9.665092","0.285947832337646","0.788374467628504","0.0966318070153324","0.198524140131982","0.398743278600215","0.0765326533202522"
"11644","novel_gene_NC_056012.1_18220","1.381314","1.437572","1.351331","1.445846","0.878057622918876","0.519200819007672","0.519200819007672","0.519200819007672","0.519200819007672","0.878057622918876"
"11645","novel_gene_NC_056012.1_18238","2.179615","2.122224","1.988771","2.084458","0.0624095716523167","0.604706383567652","0.387366496055188","0.11632566085931","0.240722492407742","0.604706383567652"
"11646","novel_gene_NC_056012.1_18240","4.366912","4.146333","4.012353","4.110762","0.000320205678355242","0.00747057201658393","0.00747057201658393","0.191192270705623","0.191192270705623","0.932128867598185"
"11647","novel_gene_NC_056012.1_18298","2.660653","2.479771","2.374667","2.498723","0.00995763668505371","0.0555494349745252","0.113396521787764","0.409381188236614","0.229672054532569","0.620565976351034"
