"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"novel_gene_NC_056015.1_40367",-0.576171141921682,-0.254079580088732,-5.11545920355643,3.5071691973507e-07,0.00586413085316069,4.05807882638096,-5.0939296666315
"Ero1b",0.450953417598806,3.73945238458238,5.01238958488339,5.45881391962829e-07,0.00586413085316069,3.90250521905233,5.00944177134995
"Sphk2",-0.419901140369627,4.80520396713588,-4.88961715849754,1.02334764326863e-06,0.00602479248836376,3.33526790007753,-4.88709491732953
"Pkn2",0.210076488134325,6.79207717909849,4.86931692305123,1.12167418912986e-06,0.00602479248836376,3.6774464150783,4.86899469448017
"EI127_mgt20",0.477347290452244,3.7896768388613,4.82374326332498,1.43099569129105e-06,0.00614898848547764,3.18114943852963,4.82063835612635
"LOC121831593",-0.298053472984015,2.18243299906488,-4.68452302000603,2.87764720999405e-06,0.00773014932428035,2.83029724304934,-4.67936502787796
"novel_gene_NC_056008.1_29801",0.245618867217364,5.31049784422226,4.66011033885872,3.17486867323369e-06,0.00773014932428035,2.75171096633152,4.65917003876184
"novel_gene_NC_056012.1_9472",-0.307325416991244,2.22287472640562,-4.65879487804748,3.24405733852687e-06,0.00773014932428035,2.85083723609655,-4.65472987040634
"LOC102908479",-0.354076468933892,4.80470987849918,-4.64019414818126,3.50653559114007e-06,0.00773014932428035,2.64039105180003,-4.6386728743348
"Dpm3",-0.573760873574949,1.89414546219356,-4.61656978132048,4.10724162394915e-06,0.00773014932428035,2.25998576128914,-4.60588052758474
"Eef2",-0.331979093355786,9.50541137572294,-4.5998117810773,4.24417185781872e-06,0.00773014932428035,2.54279912290381,-4.59905232319039
"Pex14",-0.250802178168314,5.01320209276993,-4.59591227051831,4.31751416762226e-06,0.00773014932428035,2.746619876488,-4.59548134725312
"Rps15",-0.333531725047871,6.43363259713743,-4.55443569612173,5.2659318813816e-06,0.00777354261814029,2.42297841685651,-4.55390430109717
"novel_gene_NC_056008.1_72189",-0.533137001083443,1.66935911290909,-4.52930852026731,6.14850669766621e-06,0.00777354261814029,2.1818671795647,-4.52121717854375
"Ranbp3",-0.269820442290803,6.44571048399318,-4.51713234380252,6.29755750514033e-06,0.00777354261814029,2.20138292740708,-4.51614491880704
"novel_gene_NC_056021.1_17005",-0.577043436594288,-0.333434184446128,-4.56108392143256,6.3068000660138e-06,0.00777354261814029,1.27669990507648,-4.51583418525139
"Bcas2",-0.198669068038292,4.55742909985208,-4.50115422057298,6.77478227636984e-06,0.00777354261814029,2.43920820457237,-4.50064421075535
"novel_gene_NC_056015.1_25622",-0.411283453047377,3.55359598556738,-4.49472609368733,7.0747998869122e-06,0.00777354261814029,2.11426318645945,-4.49142564948614
"Klhl26",-0.435643507560809,2.92141033657868,-4.48704933175696,7.3227661207488e-06,0.00777354261814029,2.24573884218942,-4.48408444389983
"novel_gene_NC_056008.1_69711",-0.440881995955449,0.259194548193201,-4.48441737466056,7.730040590887e-06,0.00777354261814029,2.12004033434155,-4.47252763724697
"Med29",-0.389542247899014,4.03267641783642,-4.47076677333965,7.89284288702103e-06,0.00777354261814029,2.03362126364264,-4.46807013885402
"novel_gene_NC_056031.1_1750",-0.369143196248786,2.228461423751,-4.48091527109482,7.95987608094421e-06,0.00777354261814029,1.59616772112493,-4.4662602803982
"novel_gene_NC_056015.1_31301",-0.522446184276701,3.47447260711285,-4.4389464345364,9.18194132174746e-06,0.00857713083903236,1.94057128083695,-4.43559245498706
"Lzts2",-0.256762656943678,7.69474221067185,-4.41643707102138,1.0063498558823e-05,0.00900892777234633,1.91403526807483,-4.4158045456167
"Nfkbib",-0.367326443936551,4.08242274551315,-4.40250543544833,1.07652587049623e-05,0.00925166333104458,1.97001816142127,-4.40120251806757
"Trim56",-0.318769112910223,6.82370330856095,-4.39042248618555,1.13477845996636e-05,0.00937719815860661,1.83025943823798,-4.38975613625672
"LOC102903628",-0.257533866170254,7.40696941344891,-4.36276444186292,1.28669198653318e-05,0.0100402212805527,1.78725549416085,-4.3623561282218
"C5H5orf24",0.31922349765655,5.71560855185546,4.36021956397807,1.30847659229916e-05,0.0100402212805527,1.6700514649457,4.35868270453328
"Repin1",-0.375968143064178,4.04931837302834,-4.33753443375824,1.45300034930158e-05,0.0106315701392466,1.69284580530017,-4.33569539987699
"Serf2",-0.430706594306953,5.88476702893311,-4.32779074567854,1.51509887667346e-05,0.0106315701392466,1.58181410578702,-4.32648171924397
"Romo1",-0.354221312560532,3.95509926515876,-4.31342819362494,1.61889955053176e-05,0.0106315701392466,1.65755066267593,-4.31185586897575
"LOC121822263",0.26143609073155,4.27127941300834,4.31199370951614,1.62465438654569e-05,0.0106315701392466,1.70863039315991,4.3110713893697
"Spin1",0.183137627487662,7.39348943883484,4.31049271496119,1.63296166904882e-05,0.0106315701392466,1.58236928847461,4.30994362754061
"novel_gene_NC_056024.1_5332",-0.391098155516245,3.7962409963654,-4.30378445894195,1.69152826086504e-05,0.010688966083731,1.63995658854725,-4.30214464017309
"LOC102902985",-0.373763909420741,2.15104422206844,-4.29844588092352,1.76881385177354e-05,0.0107280026416673,1.47187342770326,-4.2922377733902
"Cdc27",0.191444988603834,6.50329905088754,4.2888865223707,1.79757084058657e-05,0.0107280026416673,1.62252908764109,4.28865654515051
"LOC121825518",-0.391071800734761,2.45628998084047,-4.27860032061089,1.91174385808246e-05,0.0111010315651086,1.55674051011988,-4.27495676946346
"novel_gene_NC_056015.1_36482",-0.632019375248751,-0.0472786642904721,-4.28251574811859,1.98920483327276e-05,0.0111801456946937,1.28808623628836,-4.26609906060399
"Ncln",-0.440101789783503,5.70643023485715,-4.26271286757064,2.02944231832932e-05,0.0111801456946937,1.40485822572645,-4.26162671082299
"novel_gene_NW_024596073.1_2",0.501766607213786,0.161277528422111,4.27886188003231,2.09417621529277e-05,0.0112483439963913,0.918746266664477,4.2546058017865
"novel_gene_NC_056030.1_2688",-0.440224025178523,0.948761458835451,-4.25150799557294,2.38774885235291e-05,0.0121416811397795,0.658609428588592,-4.22515640293313
"Rpl28",-0.262618552541069,7.08135264320417,-4.22310505738333,2.41554984055198e-05,0.0121416811397795,1.30159970605747,-4.2225488863561
"LOC102925191",-0.511776460487366,6.30087320005168,-4.22243360601323,2.43003159883882e-05,0.0121416811397795,1.25437405985789,-4.22120189922969
"novel_gene_NC_056013.1_19843",-0.528731117005903,0.242860549559028,-4.19157951706669,2.93750748465526e-05,0.0140690688838702,1.0761166062175,-4.17825767365762
"Slc10a7",0.229391659080672,5.90943723014016,4.17469682337326,2.98921083207441e-05,0.0140690688838702,1.20077851370854,4.17428673551255
"Nr1h2",-0.332153587084381,5.07847451016706,-4.16899307945263,3.06916323526469e-05,0.0140690688838702,1.18778000719163,-4.16827291426576
"Mif",-0.62094731671772,4.36262023319164,-4.16919205420238,3.07771113587107e-05,0.0140690688838702,1.15962753440061,-4.16763879655025
"Hspbp1",-0.376285210735081,4.73563386782524,-4.16218128268806,3.17680096735238e-05,0.0142194934965762,1.0943968356226,-4.16040761998871
"LOC102922513",-0.254672661380524,3.67362142539114,-4.15178455195968,3.31603934395367e-05,0.014537130397692,1.2274101525736,-4.15060063028159
"Tbl3",-0.249962577634408,4.2523615877833,-4.14709969860736,3.38308829362159e-05,0.014537130397692,1.1487820460941,-4.1460169258361
"novel_gene_NC_056020.1_10025",-0.466908476250337,2.89149690547616,-4.14207441910095,3.51044449438864e-05,0.0145625984718665,1.00006737970632,-4.1375431484166
